name,background_color,text_color
Classe énergétique,#ff99ff,#FF0000
Autorisation retour AMAZON,#870A61,#FFFFFF
La MP veut rembourser,#FE2E2E,#21236
Incident ,#FE2E2E,#FFFFFF
En cours d'arbitrage,#FE2E2E,#21232
Suivre clôture Incident,#F43E71,#FFFFFF
Echange via Seller  MP,#FF8000,#FFFFFF
attente retour Fanny,#FE2E2E,#000000
Attente Com à Récuperer,#15BFD6,#21231
Att Prise en charge FDP VIR,#BDEB19,#000000
Convocation Tribunal,#FE2E2E,#000000
Décote à faire,#BDBFBB,#FF0000
REMBOURSEMENT SUR MP MIRAKL,#1f166e,#FFFFFF
Attente validation mandat SAV,#BDBFBB,#21236
Att paiement frais de retour,#E666UU,#21232
Réponse sur Boite Mail,#15BFD6,#FF0000
Attente AO DISTRIBUTION,#FFFF00,#000000
Attente Compagnie du SAV,#FF8000,#000000
Prise de rdv en cours,#99ccff,#FFFFFF
RDV validé,#99ccff,#FFFFFF
Non réparable,#064A2A,#FAF8F8
Attente marque,#5D3B3B,#FCF7F7
Attente Findis ADC,#FFFF00,#000000
Attente Devis,#99ccff,#FFFFFF
Attente rapport d'intervention,#99ccff,#FFFFFF
Amazon Business,#FE2E2E,#FFFFFF
Devis refusé,#99ccff,#FFFFFF
Attente Retrait Récla ,#15BFD6,#000000
Récla en cours d'ouverture,#FF8000,#000000
Colis en Point Relais,#ff99ff,#21236
PIECE CASSE,#FF8000,#000000
Casse Occulte Choc Transport,#FF8000,#21236
Fausse expé sur MP,#FFFF00,#000000
Livraison à son adresse imposs,#ff99ff,#21236
SAV FAUTE CLIENT,#DA0E45,#EAF4F4
